client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:53,cmpl-pf4096_dc1024:53-0,120.0714111328125,125.128394,1788802444.340545,3550763.689269011,53,27.327590194065124
pf4096_dc1024:54,cmpl-pf4096_dc1024:54-0,143.86844635009766,149.483946,1788802444.537381,3550763.908495046,54,27.54681622935459
pf4096_dc1024:55,cmpl-pf4096_dc1024:55-0,80.45649528503418,84.31809,1788802444.8186796,3550764.128392256,55,27.76671343902126
pf4096_dc1024:56,cmpl-pf4096_dc1024:56-0,125.56099891662598,130.174841,1788802444.9205704,3550764.274634999,56,27.912956182379276
pf4096_dc1024:57,cmpl-pf4096_dc1024:57-0,130.47146797180176,136.583422,1788802445.7628531,3550765.124385845,57,28.762707028072327
pf4096_dc1024:58,cmpl-pf4096_dc1024:58-0,93.11318397521973,97.111783,1788802445.8771334,3550765.199686826,58,28.838008009362966
pf4096_dc1024:59,cmpl-pf4096_dc1024:59-0,139.62674140930176,145.446812,1788802446.3881817,3550765.759038498,59,29.39735968131572
pf4096_dc1024:60,cmpl-pf4096_dc1024:60-0,88.22894096374512,92.763606,1788802446.8606374,3550766.177765419,60,29.8160866019316
pf4096_dc1024:61,cmpl-pf4096_dc1024:61-0,91.08757972717285,94.570258,1788802447.139834,3550766.461498369,61,30.09981955215335
pf4096_dc1024:62,cmpl-pf4096_dc1024:62-0,93.65105628967285,99.541079,1788802447.2852056,3550766.608330911,62,30.246652094181627
pf4096_dc1024:63,cmpl-pf4096_dc1024:63-0,104.86316680908203,110.549396,1788802447.3486319,3550766.685243801,63,30.323564984370023
pf4096_dc1024:64,cmpl-pf4096_dc1024:64-0,121.2775707244873,125.13625,1788802447.9027636,3550767.251604056,64,30.88992523914203
pf4096_dc1024:65,cmpl-pf4096_dc1024:65-0,131.17361068725586,135.048055,1788802448.3206413,3550767.679142102,65,31.317463285289705
pf4096_dc1024:66,cmpl-pf4096_dc1024:66-0,92.33474731445312,99.308548,1788802448.9235687,3550768.244695507,66,31.883016690146178
pf4096_dc1024:67,cmpl-pf4096_dc1024:67-0,103.24931144714355,107.587754,1788802448.9911232,3550768.32180005,67,31.960121233016253
pf4096_dc1024:68,cmpl-pf4096_dc1024:68-0,127.09736824035645,132.552062,1788802449.8830323,3550769.238741331,68,32.87706251395866
pf4096_dc1024:69,cmpl-pf4096_dc1024:69-0,80.60932159423828,85.983854,1788802451.283592,3550770.594037696,69,34.23235887894407
pf4096_dc1024:70,cmpl-pf4096_dc1024:70-0,141.39890670776367,150.865565,1788802451.5778284,3550770.94939428,70,34.58771546324715
pf4096_dc1024:71,cmpl-pf4096_dc1024:71-0,198.99797439575195,204.981961,1788802451.6472802,3550771.025354687,71,34.66367587028071
pf4096_dc1024:73,cmpl-pf4096_dc1024:73-0,169.96407508850098,173.78571,1788802451.676314,3550771.025362871,72,34.66368405427784
pf4096_dc1024:72,cmpl-pf4096_dc1024:72-0,180.05704879760742,184.017608,1788802451.664373,3550771.025523694,73,34.66384487738833
pf4096_dc1024:74,cmpl-pf4096_dc1024:74-0,105.95583915710449,112.644884,1788802451.9564514,3550771.290135054,74,34.92845623707399
