time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,time_stats.add.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
,,,,,,,,,,,,,,,,,,0.0076479999999999,0.008064,0.0078704,0.007872,0.0001101455400822,20,0.002336,0.002463,0.00239355,0.0024,3.283972442028109e-05,20,0.004224,0.0045119999999999,0.00435045,0.004352,6.435563300908481e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,32,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007424,0.0077129999999999,0.0075679,0.007599,0.0001050113803356,20,0.002336,0.0024,0.00237435,0.002368,2.171928866238481e-05,20,0.004128,0.00432,0.00422245,0.004224,5.009638210489839e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,16,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0070399999999999,0.007424,0.0072464,0.007232,0.0001110852825535,20,0.002112,0.0024,0.00221285,0.0022085,9.547684274210148e-05,20,0.004064,0.004192,0.0041167,0.004128,2.73717007144243e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,8,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.0073919999999999,0.007744,0.0075663499999999,0.0075515,0.0001244344305246,20,0.002016,0.002304,0.0021903499999999,0.002208,0.0001133019306984,20,0.004032,0.0041589999999999,0.00410065,0.0041115,3.534016836405863e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,4,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007551,0.0079049999999999,0.00773425,0.007728,0.0001249179230534,20,0.002048,0.00224,0.002144,0.002144,8.763560920082672e-05,20,0.004127,0.004192,0.00415185,0.00416,1.994310657846462e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,2,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007584,0.007969,0.00777455,0.007808,0.0001190816841499,20,0.00192,0.002176,0.00206075,0.002064,0.000106841412851,20,0.00416,0.004256,0.00421265,0.0042235,3.388403016171472e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,1,2,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.009023,0.009248,0.0091295,0.0091355,5.913670602933496e-05,20,0.002336,0.002464,0.0024063,0.0024155,4.239351365480344e-05,20,0.004288,0.0045439999999999,0.0043935,0.004384,6.08165273589341e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,128,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007457,0.007713,0.0075872499999999,0.007584,8.574897958576544e-05,20,0.0022069999999999,0.002336,0.00226385,0.00224,4.634789639239295e-05,20,0.00352,0.003648,0.0035887999999999,0.003584,3.2437015892341345e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,64,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007456,0.007552,0.0075008499999999,0.007488,3.39621480474954e-05,20,0.002208,0.002336,0.00227835,0.002288,3.85918061251348e-05,20,0.003552,0.003679,0.00358875,0.003584,3.384505133693853e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,32,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,,,,,,,0.007232,0.007393,0.00733765,0.007344,4.067096630275701e-05,20,0.002175,0.002304,0.0022367,0.00224,4.63940728973e-05,20,0.00336,0.003584,0.0034687499999999,0.003456,7.26910414012621e-05,20,,,,,,,16,4,4096,448,32064,True,False,False,16,4,4096,448,generic,False,,,KERNEL_ONLY,BF16,none,generic
