client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:38,cmpl-pf4096_dc1024:38-0,114.40539360046387,117.860528,1788844413.791215,3455736.117911272,38,21.41000619903207
pf4096_dc1024:39,cmpl-pf4096_dc1024:39-0,111.85336112976074,115.213195,1788844413.8785048,3455736.203305576,39,21.495400502812117
pf4096_dc1024:40,cmpl-pf4096_dc1024:40-0,147.68433570861816,150.890193,1788844414.0079775,3455736.366902098,40,21.658997024875134
pf4096_dc1024:42,cmpl-pf4096_dc1024:42-0,119.88401412963867,123.162874,1788844414.2024367,3455736.531498475,41,21.823593401815742
pf4096_dc1024:41,cmpl-pf4096_dc1024:41-0,137.64286041259766,142.471181,1788844414.1844487,3455736.531693643,42,21.82378856977448
pf4096_dc1024:43,cmpl-pf4096_dc1024:43-0,90.99388122558594,94.715892,1788844414.3954864,3455736.698679466,43,21.990774392616004
pf4096_dc1024:44,cmpl-pf4096_dc1024:44-0,100.37612915039062,104.312855,1788844415.7963257,3455738.110363181,44,23.40245810803026
pf4096_dc1024:45,cmpl-pf4096_dc1024:45-0,89.8747444152832,93.131741,1788844415.972391,3455738.272399431,45,23.564494357910007
pf4096_dc1024:46,cmpl-pf4096_dc1024:46-0,87.08500862121582,90.674761,1788844416.2947562,3455738.594805136,46,23.886900062672794
pf4096_dc1024:47,cmpl-pf4096_dc1024:47-0,119.11225318908691,122.509233,1788844416.8991427,3455739.230154531,47,24.52224945789203
pf4096_dc1024:48,cmpl-pf4096_dc1024:48-0,99.83348846435547,103.574594,1788844417.9433594,3455740.255956397,48,25.548051323741674
pf4096_dc1024:49,cmpl-pf4096_dc1024:49-0,160.36677360534668,163.860563,1788844418.3669026,3455740.738059263,49,26.030154190026224
pf4096_dc1024:50,cmpl-pf4096_dc1024:50-0,156.89921379089355,160.422497,1788844418.7721343,3455741.14209252,50,26.434187446720898
pf4096_dc1024:51,cmpl-pf4096_dc1024:51-0,117.74873733520508,122.589857,1788844419.1332006,3455741.463702776,51,26.75579770281911
pf4096_dc1024:52,cmpl-pf4096_dc1024:52-0,151.22151374816895,155.148376,1788844419.575191,3455741.941100545,52,27.233195472043008
pf4096_dc1024:53,cmpl-pf4096_dc1024:53-0,129.35566902160645,132.549851,1788844419.6848235,3455742.024718056,53,27.31681298278272
pf4096_dc1024:54,cmpl-pf4096_dc1024:54-0,98.2663631439209,101.643703,1788844419.8820152,3455742.191278532,54,27.483373458962888
pf4096_dc1024:55,cmpl-pf4096_dc1024:55-0,140.84386825561523,145.403423,1788844420.163564,3455742.51496072,55,27.807055647019297
pf4096_dc1024:56,cmpl-pf4096_dc1024:56-0,124.89128112792969,128.592621,1788844420.264436,3455742.602653491,56,27.894748417660594
pf4096_dc1024:57,cmpl-pf4096_dc1024:57-0,159.7616672515869,165.273191,1788844421.1059725,3455743.4776318,57,28.76972672669217
pf4096_dc1024:58,cmpl-pf4096_dc1024:58-0,130.54823875427246,134.420159,1788844421.2212794,3455743.563974403,58,28.856069329660386
