client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:88,cmpl-pf4096_dc1024:88-0,101.5934944152832,107.285775,1788828845.7246878,13563958.251408884,88,41.62863013707101
pf4096_dc1024:89,cmpl-pf4096_dc1024:89-0,123.20923805236816,131.789528,1788828846.0192683,13563958.56997572,89,41.947196973487735
pf4096_dc1024:90,cmpl-pf4096_dc1024:90-0,126.11865997314453,133.463951,1788828846.2563684,13563958.809026128,90,42.18624738045037
pf4096_dc1024:91,cmpl-pf4096_dc1024:91-0,106.33659362792969,114.752428,1788828846.3596795,13563958.893036416,91,42.270257668569684
pf4096_dc1024:92,cmpl-pf4096_dc1024:92-0,136.34848594665527,145.080884,1788828846.5787387,13563959.13379902,92,42.5110202729702
pf4096_dc1024:93,cmpl-pf4096_dc1024:93-0,112.92266845703125,122.490191,1788828846.6014628,13563959.133935802,93,42.51115705445409
pf4096_dc1024:94,cmpl-pf4096_dc1024:94-0,89.9958610534668,95.669649,1788828847.0219233,13563959.53767644,94,42.91489769332111
pf4096_dc1024:95,cmpl-pf4096_dc1024:95-0,115.47517776489258,126.453035,1788828847.2340496,13563959.776241403,95,43.153462655842304
pf4096_dc1024:96,cmpl-pf4096_dc1024:96-0,129.1968822479248,135.174726,1788828847.306294,13563959.861289773,96,43.23851102590561
pf4096_dc1024:97,cmpl-pf4096_dc1024:97-0,116.35756492614746,122.999244,1788828848.7964242,13563961.3403041,97,44.71752535365522
pf4096_dc1024:98,cmpl-pf4096_dc1024:98-0,115.70525169372559,120.115553,1788828850.0493436,13563962.59056356,98,45.967784812673926
pf4096_dc1024:99,cmpl-pf4096_dc1024:99-0,144.68979835510254,151.836974,1788828851.1913779,13563963.763687447,99,47.14090869948268
