time_stats.moe_gating.min,time_stats.moe_gating.max,time_stats.moe_gating.mean,time_stats.moe_gating.median,time_stats.moe_gating.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_expert_up_proj.min,time_stats.moe_expert_up_proj.max,time_stats.moe_expert_up_proj.mean,time_stats.moe_expert_up_proj.median,time_stats.moe_expert_up_proj.std,time_stats.moe_expert_down_proj.min,time_stats.moe_expert_down_proj.max,time_stats.moe_expert_down_proj.mean,time_stats.moe_expert_down_proj.median,time_stats.moe_expert_down_proj.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers
0.034,0.034,0.034,0.034,0.0,0.092,0.092,0.092,0.092,0.0,2.373,2.373,2.373,2.373,0.0,0.012,0.015,0.013000000000000001,0.013000000000000001,0.0003651483716701107,0.01,0.014,0.011883333333333333,0.013000000000000001,0.001654203400095916,592,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.092,0.092,0.092,0.092,0.0,2.531,2.531,2.531,2.531,0.0,0.012,0.015,0.01305,0.013000000000000001,0.000337885582211888,0.013000000000000001,0.014,0.013016666666666668,0.013000000000000001,0.00012801909579781006,584,60,60,1,4,2048,1408,True,1
0.032,0.032,0.032,0.032,0.0,0.092,0.092,0.092,0.092,0.0,2.448,2.448,2.448,2.448,0.0,0.012,0.015,0.012933333333333333,0.013000000000000001,0.0004422166387140533,0.013000000000000001,0.014,0.0132,0.013000000000000001,0.0003999999999999997,576,60,60,1,4,2048,1408,True,1
0.033,0.033,0.033,0.033,0.0,0.091,0.091,0.091,0.091,0.0,2.545,2.545,2.545,2.545,0.0,0.012,0.015,0.013016666666666668,0.013000000000000001,0.0003411581581743119,0.013000000000000001,0.014,0.013033333333333334,0.013000000000000001,0.00017950549357115,568,60,60,1,4,2048,1408,True,1
0.032,0.032,0.032,0.032,0.0,0.091,0.091,0.091,0.091,0.0,2.428,2.428,2.428,2.428,0.0,0.012,0.015,0.012966666666666666,0.013000000000000001,0.00048189440982669864,0.013000000000000001,0.014,0.013183333333333333,0.013000000000000001,0.00038693955887479637,560,60,60,1,4,2048,1408,True,1
0.032,0.032,0.032,0.032,0.0,0.09,0.09,0.09,0.09,0.0,2.523,2.523,2.523,2.523,0.0,0.013000000000000001,0.015,0.013083333333333334,0.013000000000000001,0.0003782268572636735,0.013000000000000001,0.014,0.01305,0.013000000000000001,0.00021794494717703353,552,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.091,0.091,0.091,0.091,0.0,2.443,2.443,2.443,2.443,0.0,0.012,0.015,0.012983333333333335,0.013000000000000001,0.0003869395588747966,0.013000000000000001,0.014,0.0131,0.013000000000000001,0.00029999999999999976,544,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.091,0.091,0.091,0.091,0.0,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5500000000000003,0.0,0.012,0.015,0.013033333333333334,0.013000000000000001,0.0003636237371545237,0.013000000000000001,0.014,0.013016666666666668,0.013000000000000001,0.00012801909579781006,536,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.09,0.09,0.09,0.09,0.0,2.443,2.443,2.443,2.443,0.0,0.012,0.015,0.01295,0.013000000000000001,0.0004252450274057692,0.013000000000000001,0.014,0.013133333333333334,0.013000000000000001,0.00033993463423951867,528,60,60,1,4,2048,1408,True,1
0.033,0.033,0.033,0.033,0.0,0.09,0.09,0.09,0.09,0.0,2.531,2.531,2.531,2.531,0.0,0.012,0.015,0.013016666666666668,0.013000000000000001,0.00042784992176644773,0.013000000000000001,0.014,0.013033333333333334,0.013000000000000001,0.00017950549357115,520,60,60,1,4,2048,1408,True,1
