time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,quant_signature
0.0469119995832443,0.0620159991085529,0.0503519998863339,0.0487679988145828,0.0034921002334957,0.0710079967975616,0.0849599987268447,0.0739103998988866,0.0723039992153644,0.0039124907211917,0.0408320017158985,0.0500800013542175,0.0429023999720811,0.0420159995555877,0.0023560807948343,0.7602880001068115,0.7703999876976013,0.7640655636787415,0.7636479735374451,0.0024977372959256,24,512,512,1,10,2048,512,True,1,240,0.25,0.46875,0.46875,0.369140625,0.0,1.4832396974191326,8.533333333333333,7.454685088175445,0.69384765625,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0475840009748935,0.0621119998395442,0.0507039999589324,0.0490879993885755,0.0037299085472919,0.070943996310234,0.0843840017914772,0.0735071998089551,0.0724800005555152,0.0034367908686325,0.0409919992089271,0.048480000346899,0.0423168003559112,0.0417280010879039,0.0017136113558628,0.8182399868965149,0.8338239789009094,0.8238368034362793,0.8230400085449219,0.0040487754158675,24,512,512,1,10,2048,512,True,1,240,0.25,0.46875,0.46875,0.40234375,0.0,1.3383239933256488,6.4,7.614121181391936,0.6467610677083333,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0475520007312297,0.0588160008192062,0.0506224004551768,0.0496960002928972,0.0025886094043904,0.0708480030298233,0.0872320011258125,0.0751600008457899,0.0726240016520023,0.0048685018697798,0.0416000001132488,0.0513599999248981,0.0439823996275663,0.0429119989275932,0.0024789463362907,0.433568000793457,0.4547519981861114,0.4386192262172699,0.437279999256134,0.0053599588572978,24,512,512,1,10,2048,512,True,2,240,0.25,0.46875,0.46875,0.36328125,0.0,1.4892205269125784,6.4,7.434873057014371,0.7000813802083334,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0476160012185573,0.0603520013391971,0.0501232001930475,0.0491040013730526,0.0028704780886419,0.0712319985032081,0.089088000357151,0.0737360000610351,0.0721919983625412,0.0040820122489348,0.0413439981639385,0.0527679994702339,0.0431839996948838,0.042383998632431,0.0025706080475529,0.4359360039234161,0.4513919949531555,0.4400143623352051,0.4384959936141968,0.0040927291847765,24,512,512,1,10,2048,512,True,2,240,0.25,0.46875,0.46875,0.369140625,0.0,1.4832396974191326,8.533333333333333,7.454685088175445,0.69384765625,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0471680015325546,0.0611519999802112,0.0499391995370388,0.048879999667406,0.0035842628447873,0.0711679980158805,0.0797120034694671,0.0728784002363681,0.0718879997730255,0.0023683135399003,0.0414719991385936,0.0504960007965564,0.0436208004131913,0.0427520014345645,0.0021227915837948,0.4531199932098388,0.4743359982967376,0.4652975499629974,0.4645439982414245,0.0046488563530147,24,512,512,1,10,2048,512,True,2,240,0.25,0.46875,0.46875,0.40234375,0.0,1.3383239933256488,6.4,7.614121181391936,0.6467610677083333,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0533760003745555,0.0693439990282058,0.0569007998332381,0.0551039986312389,0.0042483690061593,0.0794560015201568,0.1153599992394447,0.0854144006967544,0.081920001655817,0.0083662991354971,0.0467839986085891,0.0533440001308918,0.0487087998539209,0.0481279995292425,0.0017663965178548,0.8977919816970825,0.9105920195579528,0.904486358165741,0.9043840169906616,0.0030146667268127,32,512,512,1,10,2048,512,True,1,320,0.25,0.625,0.625,0.4453125,0.0,1.3341664064126335,6.4,7.688901778862183,0.6507324218749999,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0474880002439022,0.0803840011358261,0.0518272005021572,0.0494880005717277,0.0070573562933691,0.0714560002088546,0.0930240005254745,0.076919999718666,0.0747839994728565,0.0053220715475691,0.0412480011582374,0.053311999887228,0.0438560001552104,0.043376000598073,0.0026091971937643,0.9136000275611876,0.9236479997634888,0.9205135107040404,0.9208959937095642,0.0025385685730725,32,512,512,1,10,2048,512,True,1,320,0.25,0.625,0.625,0.455078125,0.0,1.2922847983320085,6.4,7.731824708365513,0.63843994140625,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0547199994325637,0.0916479974985122,0.0608095996081829,0.0573920011520385,0.0082428796901056,0.0810239985585212,0.104032002389431,0.0859664008021354,0.0842400006949901,0.0052748533169498,0.0475840009748935,0.0685120001435279,0.0507839998230338,0.0488960016518831,0.0048763002928225,0.9769920110702516,0.993120014667511,0.984022319316864,0.9845439791679382,0.0038438604678958,32,512,512,1,10,2048,512,True,1,320,0.25,0.625,0.625,0.490234375,0.0,1.1832159566199232,4.8,7.864728848443909,0.5942016601562501,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0481919981539249,0.0589120015501976,0.0496415996924042,0.0489119999110698,0.0023857952149831,0.071103997528553,0.080095998942852,0.0723439998924732,0.0718400031328201,0.0018648027969225,0.0416640006005764,0.0478719994425773,0.0428112000226974,0.0423679985105991,0.0014001334830869,0.4974400103092193,0.5192959904670715,0.5067135691642761,0.5047039985656738,0.0064257043413817,32,512,512,1,10,2048,512,True,2,320,0.25,0.625,0.625,0.4453125,0.0,1.3341664064126335,6.4,7.688901778862183,0.6507324218749999,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
0.0479359999299049,0.0595839992165565,0.0503584003075957,0.0493439994752407,0.0029004799128523,0.0710079967975616,0.0810239985585212,0.0727616008371114,0.0718400031328201,0.0024228160912148,0.0421440005302429,0.0543360002338886,0.0436623999848961,0.0428799986839294,0.0025550247514717,0.5057600140571594,0.5204799771308899,0.5147023797035217,0.5138559937477112,0.0038706713821738,32,512,512,1,10,2048,512,True,2,320,0.25,0.625,0.625,0.455078125,0.0,1.2922847983320085,6.4,7.731824708365513,0.63843994140625,uniform,vllm_fused,CUDA_EVENT,BF16,generic,none
